Player Name,Format,Image,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2012,21,465,354,16,29.1,131.4,51,1,0,34,15,31.1
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2013,21,572,347,14,40.9,164.8,67,5,0,36,35,28.8
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2014,20,464,302,8,58,153.6,57,1,0,26,28,30.1
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2015,17,372,305,12,31,122,53,1,0,27,17,40.3
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2016,12,284,210,7,40.6,135.2,64,1,0,18,14,34.3
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2017,15,290,250,11,26.4,116,61,1,0,15,16,42
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2018,15,455,302,6,75.8,150.7,79,3,0,24,30,30.1
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2019,12,416,309,5,83.2,134.6,84,3,0,22,23,35.3
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2020,12,200,172,8,25,116.3,47,0,0,16,7,40.7
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2021,11,114,107,7,16.3,106.5,18,0,0,12,3,45.8
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2022,12,232,188,7,33.1,123.4,50,1,0,21,10,43.6
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2023,12,104,57,4,26,182.5,32,0,0,3,10,28.1
MS Dhoni,Leagues,https://images.news9live.com/wp-content/uploads/2024/01/1-59.jpg,2024,11,161,73,3,53.7,220.5,37,0,0,14,13,30.1
